,Product Name in flipkart,Retail Price (FK),Discounted Price (FK),Product name in Amazon,Retail Price (AMZ),Discounted Price (AMZ)
11591,getabhi striped tie,451.0,451.0,getabhi striped tie,484,601
11592,eveready 14 w led bulb,899.0,420.0,eveready 14 w led bulb,893,533
11593,faith leenise 1000801 women heels,2190.0,985.0,faith leenise 1000801 women heels,2182,1264
11594,finesse nutl4474p dupian saree falls,1600.0,1300.0,finesse nutl4474p dupian saree falls,1582,1499
11595,faith leenise 100105 women heels,2170.0,990.0,faith leenise 100105 women heels,2169,1093
11596,mocc new horn set imported with 18 tunes 110 db vehicle horn,999.0,280.0,mocc new horn set imported with 18 tunes 110 db vehicle horn,988,359
11597,eira casual printed women's kurti,749.0,320.0,eira casual printed women's kurti,1481,589
11598,durian tulsa leatherette 3 seater sofa,75300.0,48945.0,durian tulsa leatherette 3 seater sofa,75298,62790
11599,"pierre carlo solid, self design v-neck casual men's sweater",799.0,799.0,"pierre carlo solid, self design v-neck casual men's sweater",798,919
11600,van heusen casual 3/4 sleeve printed women's top,2495.0,1497.0,van heusen casual 3/4 sleeve printed women's top,2492,1765
11601,faith leenise 10003 women heels,1630.0,745.0,faith leenise 10003 women heels,1610,892
11602,gaura casual printed women's kurti,1099.0,499.0,gaura casual printed women's kurti,1094,578
11603,milky way 10 w led bulb,897.0,330.0,milky way 10 w led bulb,885,411
11604,alvaro checkered tie,599.0,499.0,alvaro checkered tie,592,565
11605,durian richmond leatherette 1 seater sofa,38080.0,21325.0,durian richmond leatherette 1 seater sofa,38070,26509
11606,keya seth umbrella protex heat proof sunscreen solution - spf 75 pa+++,399.0,399.0,keya seth umbrella protex heat proof sunscreen solution - spf 75 pa+++,391,461
11607,eira casual printed women's kurti,1499.0,499.0,eira casual printed women's kurti,1481,589
11608,jovees anjeer & carrot sunblock (pack of 2) - spf 45,330.0,323.0,jovees anjeer & carrot sunblock (pack of 2) - spf 45,320,374
11609,organic harvest monsoon sunscreen - spf 30 pa++,495.0,450.0,organic harvest monsoon sunscreen - spf 30 pa++,491,523
11610,trendz today casual full sleeve printed women's top,1199.0,1199.0,trendz today casual full sleeve printed women's top,1182,1375
11611,takeincart solid baseball cap,1000.0,699.0,takeincart solid baseball cap,1494,868
11612,whiteherbs ultra protection sunscreen lotion - spf 30 pa+,450.0,270.0,whiteherbs ultra protection sunscreen lotion - spf 30 pa+,439,309
11613,vichy capital soleil velvety cream - spf 50 pa+,1200.0,1055.0,vichy capital soleil velvety cream - spf 50 pa+,1182,1340
11614,durian leather 1 seater sofa,69300.0,45045.0,durian leather 2 seater sofa,250483,207175
11615,alvaro self design tie,599.0,499.0,alvaro self design tie,587,599
11616,x gold india red beads jhaler metal jewel set,1147.0,499.0,x gold india red beads jhaler metal jewel set,1144,617
11617,rashmi 23 w cfl 3u lamp b22 cap bulb,1050.0,990.0,rashmi 23 w cfl 3u lamp b22 cap bulb,1048,1150
11618,arra solid wood 7 seater sofa,36700.0,36700.0,arra solid wood 3 seater sofa,27885,31303
11619,aveeno baby continuous protection lotion sunscreen with broad spectrum - spf 55 pa+,1099.0,1099.0,aveeno baby continuous protection lotion sunscreen with broad spectrum - spf 55 pa+,1091,1314
11620,xtreme 3 pipe air pressure for suzuki sling shot plus 110 db vehicle horn,1999.0,1199.0,xtreme 3 pipe air pressure for suzuki sling shot plus 110 db vehicle horn,1992,1502
11621,leebonee striped v-neck casual men's sweater,1045.0,899.0,leebonee striped v-neck casual men's sweater,1035,1148
11622,catwalk women heels,2495.0,699.0,catwalk women heels,3481,4042
11623,"estyle casual, festive, wedding printed women's kurti",1599.0,395.0,"estyle casual, festive, wedding printed women's kurti",1585,498
11624,adorn a10-25206 red women heels,1599.0,699.0,adorn a10-25206 red women heels,1596,803
11625,durian berry solid wood 1 seater sofa,23100.0,15015.0,durian berry solid wood 1 seater sofa,23089,16821
11626,anherb combo of sunscreen lotion (pack of 2) - spf 20 pa+,290.0,261.0,anherb combo of sunscreen lotion (pack of 2) - spf 20 pa+,286,294
11627,wsd solid tie,699.0,249.0,wsd solid tie,597,304
11628,thalgo age defence sun lotion - spf 30 pa++,1730.0,1730.0,thalgo age defence sun lotion - spf 30 pa++,1720,2185
11629,catwalk women heels,3495.0,3495.0,catwalk women heels,3481,4042
11630,xtreme mb windtone for bajaj discover 100 dts-i 110 db vehicle horn,699.0,349.0,xtreme mb windtone for bajaj discover 100 dts-i 110 db vehicle horn,691,419
11631,durian leather 2 seater sofa,250500.0,162825.0,durian leather 2 seater sofa,250483,207175
11632,durian berry solid wood 2 seater sofa,42000.0,27300.0,durian berry solid wood 1 seater sofa,23089,16821
11633,durian salina leatherette 2 seater sofa,54300.0,35295.0,durian salina leatherette 2 seater sofa,54299,42585
11634,unimod casual short sleeve solid women's top,1449.0,1449.0,unimod casual short sleeve solid women's top,1442,1724
11635,alvaro self design tie,599.0,499.0,alvaro self design tie,587,599
11636,classique solid tie,699.0,499.0,classique solid tie,696,645
11637,durian fabric 1 seater sofa,23400.0,15210.0,durian fabric 3 seater sofa,73785,55834
11638,kanu flip cover for xolo play tegra note tablt,599.0,329.0,kanu flip cover for xolo play tegra note tablt,582,421
11639,philips 9.5 w led b22 3000k a55 ind bulb,699.0,419.0,philips 9.5 w led b22 3000k a55 ind bulb,680,505
11640,getabhi printed tie,301.0,301.0,getabhi printed tie,639,841
11641,fab rajasthan unique arts casual printed women's kurti,1399.0,399.0,fab rajasthan unique arts casual printed women's kurti,1089,444
11642,being women elegant multicolor traditional ethinic alloy jewel set,985.0,195.0,being women elegant multicolor traditional ethinic alloy jewel set,734,185
11643,gaura printed women's kurti,1099.0,499.0,gaura printed women's kurti,1093,594
11644,roadster solid turtle neck casual men's sweater,1399.0,839.0,roadster solid turtle neck casual men's sweater,1390,1044
11645,alvaro checkered tie,599.0,499.0,alvaro checkered tie,592,565
11646,durian fabric 3 seater sofa,73800.0,47970.0,durian fabric 3 seater sofa,73785,55834
11647,dark horses trading co floral print women's kurti,1199.0,349.0,dark horses trading co floral print women's kurti,1193,397
11648,a click away women heels,1748.0,699.0,a click away women heels,2242,991
11649,getabhi striped tie,301.0,301.0,getabhi striped tie,484,601
11650,eira casual printed women's kurti,749.0,320.0,eira casual printed women's kurti,1481,589
11651,pierre carlo solid v-neck casual men's sweater,999.0,999.0,pierre carlo solid v-neck casual men's sweater,981,1156
11652,a click away women heels,1748.0,699.0,a click away women heels,2242,991
11653,innovationthestore solid basic cap cap,2999.0,1499.0,innovationthestore solid basic cap cap,2980,1762
11654,eira casual printed women's kurti,1499.0,499.0,eira casual printed women's kurti,1481,589
11655,gaura casual solid women's kurti,1099.0,499.0,gaura casual solid women's kurti,1097,580
11656,alvaro polka print tie,599.0,499.0,alvaro polka print tie,587,603
11657,bosch 49605 110 db vehicle horn,665.0,550.0,bosch 49605 110 db vehicle horn,650,658
11658,arra solid wood 6 seater sofa,53300.0,53300.0,arra solid wood 3 seater sofa,27885,31303
11659,banana boat baby sunscreen lotion spf50 - 90ml (3oz) - spf 50 pa+,995.0,695.0,banana boat baby sunscreen lotion spf50 - 90ml (3oz) - spf 50 pa+,978,804
11660,aroma magic cucumber sun screen lotion 2 - spf 30 pa++,570.0,558.0,aroma magic cucumber sun screen lotion 2 - spf 30 pa++,560,642
11661,lotus herbals safe sun matte gel - spf 50 pa+++,295.0,275.0,lotus herbals safe sun matte gel - spf 50 pa+++,290,357
11662,neutrogena clear face lotion - spf 30,2106.0,1049.0,neutrogena clear face lotion - spf 30,2099,1252
11663,jafra uv blocker - spf 30 pa+++,840.0,756.0,jafra uv blocker - spf 30 pa+++,829,905
11664,arra solid wood 3 seater sofa,21400.0,21400.0,arra solid wood 3 seater sofa,27885,31303
11665,faith leenise slip on women heels,2090.0,760.0,faith leenise slip on women heels,2071,985
11666,arra solid wood 4 seater sofa,43100.0,43100.0,arra solid wood 3 seater sofa,27885,31303
11667,getabhi striped tie,301.0,301.0,getabhi striped tie,484,601
11668,beora fashion statement alloy jewel set,1199.0,349.0,beora fashion statement alloy jewel set,1190,384
11669,studio 9 stylish women heels,1899.0,949.0,studio 9 stylish women heels,1894,1197
11670,durian richmond leatherette 1 seater sofa,38080.0,21325.0,durian richmond leatherette 1 seater sofa,38070,26509
11671,"estyle casual, festive, wedding printed women's kurti",900.0,395.0,"estyle casual, festive, wedding printed women's kurti",1585,498
11672,lotus daily multi-function sun block - spf 70 pa+++,1540.0,1540.0,lotus daily multi-function sun block - spf 70 pa+++,1539,1712
11673,faith leenise 1000211 women heels,2590.0,799.0,faith leenise 1000211 women heels,2588,931
11674,jojo book cover for samsung galaxy tab 2 p3110 (16gb),590.0,285.0,jojo book cover for samsungâ galaxy tab 2 p3110 (16gb),574,343
11675,"camy alloy, metal jewel set",1360.0,299.0,"camy alloy, metal jewel set",1357,378
11676,cfs fusion night flight eau de parfum  -  100 ml,450.0,387.0,cfs fusion night flight eau de parfum  -  100 ml,431,500
11677,designersareez casual printed women's kurti,1499.0,399.0,designersareez casual printed women's kurti,1495,452
11678,faith leenise 1000137 women heels,2190.0,765.0,faith leenise 1000137 women heels,2182,968
11679,"galaxy 12 w, 18 w led bulb",1000.0,399.0,"galaxy 12 w, 18 w led bulb",994,483
11680,instanote iconic colored pages a5 notebook hand sewn,179.0,179.0,instanote iconic colored pages a5 notebook hand sewn,165,210
11681,getabhi solid tie,351.0,351.0,getabhi solid tie,335,440
11682,l 'oreal paris uv perfect - transparent skin - spf 50,,,l 'oreal paris uv perfect - transparent skin - spf 50,-5,0
11683,gaura printed women's kurti,1099.0,499.0,gaura printed women's kurti,1093,594
11684,kingswood argyle v-neck casual men's sweater,1799.0,899.0,kingswood argyle v-neck casual men's sweater,1795,1163
11685,banana boat sport performance sunscreen lotion - spf 50+ pa+++,699.0,575.0,banana boat sport performance sunscreen lotion - spf 50+ pa+++,687,704
11686,speedwav twin tone 2 pipe car air pressure -tata safari type 1 200 db vehicle horn,2500.0,1048.0,speedwav twin tone 2 pipe car air pressure -tata safari type 1 200 db vehicle horn,2483,1202
11687,easy walk women heels,1500.0,689.0,easy walk women heels,1483,845
11688,kanu flip cover for acer iconia b1-720-81111g00nki,599.0,329.0,kanu flip cover for acer iconia b1-720-81111g00nki,586,393
11689,quartz 15265662 smart watch strap,999.0,439.0,quartz 15265662 smart watch strap,992,504
11690,a click away women heels,1748.0,699.0,a click away women heels,2242,991
11691,faith leenise 1000829 women heels,2190.0,985.0,faith leenise 1000829 women heels,2189,1224
11692,mindsutra software technologies jaimini light,2000.0,1650.0,mindsutra software technologies jaimini light,1990,2027
11693,gaura printed women's kurti,1099.0,499.0,gaura printed women's kurti,1093,594
11694,shoptosurprise generic photo frame,799.0,399.0,shoptosurprise generic photo frame,780,458
11695,batman embroidered cap cap,799.0,799.0,batman embroidered cap cap,798,986
11696,getabhi striped tie,501.0,501.0,getabhi striped tie,484,601
11697,darcey casual printed women's kurti,1699.0,399.0,darcey casual printed women's kurti,1689,475
11698,archi collection alloy jewel set,1200.0,300.0,archi collection alloy jewel set,1499,457
11699,jovees sandalwood suncover natural protection (pack of 2) - spf 30,350.0,332.0,jovees sandalwood suncover natural protection (pack of 2) - spf 30,330,381
11700,speedwav twin tone 2 pipe car air pressure -nissan evalia 200 db vehicle horn,2500.0,1048.0,speedwav twin tone 2 pipe car air pressure -nissan evalia 200 db vehicle horn,2491,1222
11701,kolorfame flip cover for iball slide wq77,599.0,299.0,kolorfame flip cover for iball slide wq77,592,362
11702,durian helena fabric 3 seater sofa,108900.0,70785.0,durian helena fabric 3 seater sofa,108889,78854
11703,eeshha ultra sun block - spf 30 pa+++,215.0,215.0,eeshha ultra sun block - spf 30 pa+++,204,249
11704,alvaro self design tie,599.0,499.0,alvaro self design tie,587,599
11705,fab rajasthan unique arts casual printed women's kurti,1399.0,399.0,fab rajasthan unique arts casual printed women's kurti,1089,444
11706,no code party sleeveless embellished women's top,1699.0,1444.0,no code party sleeveless embellished women's top,1698,1806
11707,leebonee geometric print v-neck casual men's sweater,1595.0,999.0,leebonee geometric print v-neck casual men's sweater,1582,1254
11708,charu- diva design studio women heels,2500.0,899.0,charu- diva design studio women heels,2495,1015
11709,type r g55 110 db vehicle horn,800.0,449.0,type r g55 110 db vehicle horn,795,553
11710,oriflame sweden sun zone uv protector face and exposed areas high - spf 50 pa++,799.0,579.0,oriflame sweden sun zone uv protector face and exposed areas high - spf 50 pa++,782,680
11711,jojo book cover for prestigio multipad 7.0 prime duo 3g,590.0,285.0,jojo book cover for prestigio multipad 7.0 prime duo 3g,584,319
11712,oshea herbals uv shield sun block cream - spf 30,245.0,230.0,oshea herbals uv shield sun block cream - spf 30,239,279
11713,izabel london by pantaloons casual short sleeve solid women's top,1299.0,1104.0,izabel london by pantaloons casual short sleeve solid women's top,1279,1394
11714,durian berry solid wood 3 seater sofa,48600.0,31590.0,durian berry solid wood 1 seater sofa,23089,16821
11715,gaura casual solid women's kurti,1099.0,499.0,gaura casual solid women's kurti,1097,580
11716,speedwav tuk tuk reverse gear safety -chevrolet sail 200 db vehicle horn,500.0,278.0,speedwav tuk tuk reverse gear safety -chevrolet sail 200 db vehicle horn,487,334
11717,catwalk bellies,2295.0,999.0,catwalk bellies,2288,1101
11718,ecomradhikas casual printed women's kurti,1200.0,490.0,ecomradhikas casual printed women's kurti,1189,601
11719,jojo book cover for amazon kindle fire,590.0,285.0,jojo book cover for amazon kindle fire,583,365
11720,arra solid wood 2 seater sofa,16900.0,16900.0,arra solid wood 3 seater sofa,27885,31303
11721,dede's casual floral print women's kurti,1999.0,387.0,dede's casual floral print women's kurti,1998,442
11722,alvaro polka print tie,599.0,499.0,alvaro polka print tie,587,603
11723,vlcc glow + sun block lotion - spf 20 pa++,150.0,140.0,vlcc glow + sun block lotion - spf 20 pa++,137,174
11724,"hira fashion wear checkered turtle neck wedding, casual, party, formal men's sweater",999.0,499.0,"hira fashion wear checkered turtle neck wedding, casual, party, formal men's sweater",985,560
11725,speedwav twin tone 2 pipe bike air pressure -royal enfield electra twin tone 2 spark 200 db vehicle horn,2500.0,1048.0,speedwav twin tone 2 pipe bike air pressure -royal enfield electra twin tone 2 spark 200 db vehicle horn,2482,1329
11726,takeincart solid baseball cap,2000.0,899.0,takeincart solid baseball cap,1494,868
11727,puma casual short sleeve solid women's top,1499.0,1499.0,puma casual short sleeve solid women's top,893,1112
11728,aveeno protect + hydrate broad spectrum spf 70 sunscreen lotion - spf 70 pa+,1950.0,1389.0,aveeno protect + hydrate broad spectrum spf 70 sunscreen lotion - spf 70 pa+,1936,1560
11729,anherb sunscreen lotion - spf 20 pa+,145.0,145.0,anherb sunscreen lotion - spf 20 pa+,128,178
11730,mh mdf photo frame,999.0,899.0,mh mdf photo frame,881,1024
11731,forever aloe sunscreen spray - spf 30 pa+,1044.0,997.0,forever aloe sunscreen spray - spf 30 pa+,1026,1182
11732,victor 8 w led bulb,790.0,295.0,victor 8 w led bulb,771,367
11733,alvaro checkered tie,599.0,499.0,alvaro checkered tie,592,565
11734,la roche-posay anthelios xl fluid dry touch gel-cream - spf 50 pa+,1400.0,1344.0,la roche-posay anthelios xl fluid dry touch gel-cream - spf 50 pa+,1388,1742
11735,takeincart solid baseball cap,1000.0,699.0,takeincart solid baseball cap,1494,868
11736,nandini herbal care sun care - spf 30 pa+,120.0,109.0,nandini herbal care sun care - spf 30 pa+,118,121
11737,alvaro self design tie,599.0,499.0,alvaro self design tie,587,599
11738,the body shop fijian water lotus body mist eau de parfum  -  100 ml,1095.0,1095.0,the body shop fijian water lotus body mist eau de parfum  -  100 ml,1081,1321
11739,vitalwalls without frame canvas painting,1749.0,1549.0,vitalwalls without frame canvas painting,1747,1835
11740,getabhi printed tie,301.0,301.0,getabhi printed tie,639,841
11741,tao communications acrylic painting,2800.0,1800.0,tao communications acrylic painting,2791,2303
11742,cruzaar formal solid women's kurti,1795.0,399.0,cruzaar formal solid women's kurti,1777,457
11743,alvaro self design tie,599.0,499.0,alvaro self design tie,587,599
11744,infiniti 9 w led warm white b22 bulb,898.0,898.0,infiniti 9 w led warm white b22 bulb,879,1017
11745,wallmantra christ the redeemer framed print canvas painting,2299.0,1749.0,wallmantra christ the redeemer framed print canvas painting,2290,1942
11746,beautywear wood necklace,310.0,300.0,beautywear wood necklace,296,382
11747,catwalk women heels,1895.0,799.0,catwalk women heels,3481,4042
11748,kingswood striped turtle neck casual men's sweater,1599.0,799.0,kingswood striped turtle neck casual men's sweater,1590,933
11749,tallenge christmas collection - christmas tree with yellow background - gallery wrap canvas painting,2499.0,1799.0,tallenge christmas collection - christmas tree with yellow background - gallery wrap canvas painting,2484,2012
11750,wallmantra cute kitty framed print canvas painting,2299.0,1749.0,wallmantra cute kitty framed print canvas painting,2293,2017
11751,peter england polka print tie,599.0,599.0,peter england polka print tie,589,659
11752,jewelmantra gold necklace,26800.0,26800.0,jewelmantra gold necklace,26788,31247
11753,a click away women heels,2248.0,899.0,a click away women heels,2242,991
11754,faith leenise 1000873 women heels,1545.0,690.0,faith leenise 1000873 women heels,1533,802
11755,tallenge christmas collection - echoes of winter - gallery wrap canvas painting,2499.0,1799.0,tallenge christmas collection - echoes of winter - gallery wrap canvas painting,2488,2198
11756,crazora casual printed women's kurti,1099.0,499.0,crazora casual printed women's kurti,1080,611
11757,studio 9 stylish women heels,1899.0,949.0,studio 9 stylish women heels,1894,1197
11758,the vanca casual 3/4 sleeve solid women's top,1299.0,1299.0,the vanca casual 3/4 sleeve solid women's top,1279,691
11759,wallmantra golden buddha on red background framed print canvas painting,2299.0,1749.0,wallmantra golden buddha on red background framed print canvas painting,2290,2001
11760,"glam accessories turquoise, amethyst brass plated stone necklace",549.0,499.0,"glam accessories turquoise, amethyst brass plated stone necklace",529,611
11761,nirvana designer diamond 18k yellow gold plated gold necklace,29700.0,17820.0,nirvana designer diamond 18k yellow gold plated gold necklace,29698,22637
11762,cfs fusion very masculine eau de parfum  -  100 ml,450.0,387.0,cfs fusion very masculine eau de parfum  -  100 ml,445,447
11763,wallmantra abstract trees wall hanging canvas painting,2299.0,1749.0,wallmantra abstract trees wall hanging canvas painting,2295,1951
11764,vitalwalls canvas painting,1749.0,1549.0,vitalwalls canvas painting,1740,1798
11765,vitalwalls with frame canvas painting,1749.0,1549.0,vitalwalls with frame canvas painting,1838,1877
11766,wallmantra cute kittens framed print canvas painting,2299.0,1749.0,wallmantra cute kittens framed print canvas painting,2290,2073
11767,oshea herbals uvshield - sun block cream - spf 30 pa+,145.0,140.0,oshea herbals uvshield - sun block cream - spf 30 pa+,135,175
11768,hawai durable multicolor alloy necklace,3249.0,1299.0,hawai durable multicolor alloy necklace,3244,1526
11769,tallenge christmas collection - nativity art - gallery wrap canvas painting,2499.0,1799.0,tallenge christmas collection - nativity art - gallery wrap canvas painting,2487,2159
11770,frazzer 12 w led bulb,1550.0,402.0,frazzer 12 w led bulb,1547,461
11771,shashvat jewels silver necklace,25000.0,25000.0,shashvat jewels silver necklace,24986,32131
11772,urban woods black women heels,1199.0,599.0,urban woods black women heels,1198,755
11773,wallmantra abstract colors modern art wall hanging canvas painting,2299.0,1749.0,wallmantra abstract colors modern art wall hanging canvas painting,2290,1988
11774,wallmantra motivational quote framed print canvas painting,2299.0,1749.0,wallmantra motivational quote framed print canvas painting,2294,2085
11775,vespl wayfarer sunglasses,1099.0,479.0,vespl wayfarer sunglasses,1081,542
11776,pakshal premium tawa 26 cm diameter,470.0,460.0,pakshal premium tawa 26 cm diameter,469,580
11777,ripr self design women's multicolor basic shorts,4742.0,1897.0,ripr self design women's multicolor basic shorts,4733,2289
11778,skycandle.in qingkongyu fruity gel air freshener,399.0,229.0,skycandle.in qingkongyu fruity gel air freshener,393,262
11779,radhesh creation crystal yellow gold plated brass nathiya,998.0,499.0,radhesh creation crystal yellow gold plated brass nathiya,728,468
11780,radhesh creation crystal yellow gold plated brass nathiya,1050.0,525.0,radhesh creation crystal yellow gold plated brass nathiya,728,468
11781,radhesh creation crystal yellow gold plated brass nathiya,998.0,499.0,radhesh creation crystal yellow gold plated brass nathiya,728,468
11782,red horse sneakers,1999.0,899.0,red horse sneakers,1986,1113
11783,radhesh creation crystal yellow gold plated brass nathiya,800.0,399.0,radhesh creation crystal yellow gold plated brass nathiya,728,468
11784,rajsahi party wear,999.0,499.0,rajsahi party wear,993,572
11785,kanha poshak wooden all purpose chowki,450.0,380.0,kanha poshak wooden all purpose chowki,433,440
11786,radhesh creation crystal yellow gold plated brass nathiya,740.0,370.0,radhesh creation crystal yellow gold plated brass nathiya,728,468
11787,radhesh creation crystal yellow gold plated brass nathiya,900.0,450.0,radhesh creation crystal yellow gold plated brass nathiya,728,468
11788,radhesh creation crystal yellow gold plated brass nathiya,1050.0,525.0,radhesh creation crystal yellow gold plated brass nathiya,728,468
11789,radhesh creation crystal yellow gold plated brass nathiya,1398.0,699.0,radhesh creation crystal yellow gold plated brass nathiya,728,468
11790,radhesh creation crystal yellow gold plated brass nathiya,900.0,450.0,radhesh creation crystal yellow gold plated brass nathiya,728,468
11791,scantia bellies,399.0,299.0,scantia bellies,384,358
11792,radhesh creation crystal yellow gold plated brass nathiya,798.0,399.0,radhesh creation crystal yellow gold plated brass nathiya,728,468
11793,radhesh creation crystal yellow gold plated brass nathiya,700.0,350.0,radhesh creation crystal yellow gold plated brass nathiya,728,468
11794,"stylla pichkari, color holi combo",499.0,299.0,"stylla pichkari, color holi combo",492,381
11795,radhesh creation crystal yellow gold plated brass nathiya,1000.0,499.0,radhesh creation crystal yellow gold plated brass nathiya,728,468
11796,g fashion printed cotton women's harem pants,827.0,297.0,g fashion printed cotton women's harem pants,814,529
11797,kittens boys flats,690.0,690.0,kittens boys flats,684,888
11798,kalt self design round neck casual women's sweater,2600.0,1100.0,kalt self design round neck casual women's sweater,2598,1319
11799,sj nature science for experimental explorers educational toys,1699.0,849.0,sj nature science for experimental explorers educational toys,1697,1043
11800,aimedu toy combo pack of 6 frames and 1 carving board no. for kids learning - kids toy,5700.0,2850.0,aimedu toy combo pack of 6 frames and 1 carving board no. for kids learning - kids toy,5681,3208
11801,panditnmshrimali parad shivlingam (70 gm) showpiece  -  3.5 cm,1500.0,800.0,panditnmshrimali parad shivlingam (70 gm) showpiece  -  3.5 cm,1489,952
11802,kiosha women's printed casual shirt,1299.0,517.0,kiosha women's printed casual shirt,1081,358
11803,archi collection alloy jewel set,2700.0,670.0,archi collection alloy jewel set,1499,457
11804,bombay high women's solid formal shirt,799.0,399.0,bombay high women's solid formal shirt,683,404
11805,westhreads women's solid casual shirt,799.0,499.0,westhreads women's solid casual shirt,783,555
11806,meira women's printed party shirt,899.0,449.0,meira women's printed party shirt,891,552
11807,houseattire abstract cushions cover,259.0,138.0,houseattire abstract cushions cover,255,172
11808,i am for you women's solid party shirt,1099.0,494.0,i am for you women's solid party shirt,783,447
11809,aussehen women's solid casual shirt,749.0,499.0,aussehen women's solid casual shirt,691,616
11810,anasazi women's printed casual shirt,799.0,360.0,anasazi women's printed casual shirt,585,363
11811,eves pret a porter women's solid casual linen shirt,1500.0,399.0,eves pret a porter women's solid casual linen shirt,1484,491
11812,naisha women's printed casual shirt,349.0,199.0,naisha women's printed casual shirt,341,240
11813,goodwill impex women's solid casual shirt,1000.0,399.0,goodwill impex women's solid casual shirt,997,470
11814,hsfs women's printed casual shirt,999.0,350.0,hsfs women's printed casual shirt,986,390
11815,anasazi women's printed casual shirt,599.0,300.0,anasazi women's printed casual shirt,585,363
11816,shoppers look women's solid casual shirt,599.0,399.0,shoppers look women's solid casual shirt,598,489
11817,sonal dresses formal printed women's kurti,1499.0,699.0,sonal dresses formal printed women's kurti,1498,907
11818,miss rich women's solid casual shirt,799.0,399.0,miss rich women's solid casual shirt,793,452
11819,sthri printed women's kurti,1895.0,550.0,sthri printed women's kurti,1882,665
11820,"vaishali bindi and bangles brass, copper bangle set",749.0,299.0,"vaishali bindi and bangles brass, copper bangle set",890,338
11821,snuggles baby girl's a-line dress,349.0,314.0,snuggles baby girl's a-line dress,341,392
11822,bombay high women's striped formal shirt,799.0,399.0,bombay high women's striped formal shirt,790,547
11823,hrx women's solid casual shirt,1299.0,389.0,hrx women's solid casual shirt,1296,470
11824,aussehen women's solid casual shirt,1200.0,350.0,aussehen women's solid casual shirt,691,616
11825,antilia femme women's printed casual reversible shirt,799.0,445.0,antilia femme women's printed casual reversible shirt,797,546
11826,karishma women's solid formal shirt,999.0,199.0,karishma women's solid formal shirt,997,343
11827,folklore women's solid festive shirt,849.0,424.0,folklore women's solid festive shirt,839,509
11828,miss rich women's solid casual shirt,799.0,399.0,miss rich women's solid casual shirt,793,452
11829,"vaishali bindi and bangles brass, copper bangle set",649.0,249.0,"vaishali bindi and bangles brass, copper bangle set",890,338
11830,kuhuk plastic bangle set,2000.0,495.0,kuhuk plastic bangle set,889,390
11831,mansicollections women's solid casual shirt,999.0,495.0,mansicollections women's solid casual shirt,988,604
11832,urthn alloy brass bangle set,999.0,345.0,urthn alloy brass bangle set,976,402
11833,vanity collection women's solid casual shirt,799.0,479.0,vanity collection women's solid casual shirt,688,523
11834,harpa women's printed casual shirt,999.0,399.0,harpa women's printed casual shirt,983,456
11835,l'elegantae women's solid casual shirt,999.0,499.0,l'elegantae women's solid casual shirt,990,618
11836,jazzy ben women's checkered casual shirt,1095.0,495.0,jazzy ben women's checkered casual shirt,1086,577
11837,sukkhi brass yellow gold bangle set,1797.0,449.0,sukkhi brass yellow gold bangle set,1794,513
11838,ss decor casual printed women's kurti,1699.0,549.0,ss decor casual printed women's kurti,1692,671
11839,famous women's self design casual shirt,599.0,300.0,famous women's self design casual shirt,596,371
11840,bedazzle women's checkered casual shirt,999.0,499.0,bedazzle women's checkered casual shirt,998,571
11841,abhira girl's a-line dress,1149.0,499.0,abhira girl's a-line dress,1979,850
11842,blute women's solid casual shirt,500.0,275.0,blute women's solid casual shirt,494,319
11843,hermosear women's striped casual shirt,899.0,499.0,hermosear women's striped casual shirt,886,578
11844,variation alloy yellow gold 22 bangle set,1049.0,399.0,variation alloy yellow gold 22 bangle set,1030,508
11845,the fancy mart cotton bath & hand towel set,1490.0,820.0,the fancy mart cotton bath & hand towel set,1478,953
11846,charvee acrylic bangle,960.0,960.0,charvee acrylic bangle,942,1111
11847,vk jewels alloy yellow gold bangle set,1860.0,538.0,vk jewels alloy yellow gold bangle set,1561,533
11848,tiara gems copper bangle set,999.0,350.0,tiara gems copper bangle set,979,425
11849,madhyam art brass brass bangle set,1722.0,454.0,madhyam art brass brass bangle set,1703,517
11850,bhavika acrylic bangle,1000.0,199.0,bhavika acrylic bangle,982,224
11851,vedika jewellery alloy bangle set,999.0,349.0,vedika jewellery alloy bangle set,1281,515
11852,luxor alloy yellow gold bangle set,699.0,149.0,luxor alloy yellow gold bangle set,686,165
11853,"hypernation women's solid casual, party shirt",1799.0,475.0,"hypernation women's solid casual, party shirt",1797,614
11854,anasazi women's solid casual shirt,1099.0,495.0,anasazi women's solid casual shirt,658,367
11855,vedika jewellery alloy bangle set,1299.0,399.0,vedika jewellery alloy bangle set,1281,515
11856,colors couture women's solid casual shirt,849.0,424.0,colors couture women's solid casual shirt,844,539
11857,viva fashions alloy cubic zirconia rhodium bangle set,750.0,750.0,viva fashions alloy cubic zirconia rhodium bangle set,837,1059
11858,i am for you women's solid casual shirt,899.0,405.0,i am for you women's solid casual shirt,789,445
11859,dede's women's solid casual shirt,1399.0,387.0,dede's women's solid casual shirt,1389,468
11860,oxolloxo women's printed casual shirt,1095.0,328.0,oxolloxo women's printed casual shirt,1076,364
11861,people women's solid formal shirt,899.0,450.0,people women's solid formal shirt,892,532
11862,meira women's printed party shirt,899.0,449.0,meira women's printed party shirt,891,552
